timeline_id,target,repository,setting_scope,event,introduced_date,introduced_commit,previous_value,new_value,remediation,remediation_date,remediation_commit,current_snapshot_sha,status,path,source_text,evidence_command,notes
T001,lm-evaluation-harness,EleutherAI/lm-evaluation-harness,provider default (GPT-3 API),introduction,2021-02-03T19:03:26-07:00,5f4c7c50d14d63553071b05c48b30c155eb0837d,absent,256,false,,,f4d4b3de3ee6741a7151a9fe74945ee515262f4c,verified,lm_eval/models/gpt3.py,MAX_GEN_TOKS = 256,git -C ecosystem_audit/_repos/lm-evaluation-harness show --format=fuller --stat 5f4c7c50d14d63553071b05c48b30c155eb0837d -- lm_eval/models/gpt3.py && git -C ecosystem_audit/_repos/lm-evaluation-harness show 5f4c7c50d14d63553071b05c48b30c155eb0837d:lm_eval/models/gpt3.py,Initial provider adapter default inherited by uncapped generation tasks.
T002,lm-evaluation-harness,EleutherAI/lm-evaluation-harness,AIME task,introduction,2025-08-26T14:53:46-07:00,5ac7cdf83020193258ccfc1698556202ec328a49,absent,32768,false,,,f4d4b3de3ee6741a7151a9fe74945ee515262f4c,verified,lm_eval/tasks/aime/aime.yaml,max_gen_toks: 32768,git -C ecosystem_audit/_repos/lm-evaluation-harness show --format=fuller --stat 5ac7cdf83020193258ccfc1698556202ec328a49 -- lm_eval/tasks/aime/aime.yaml && git -C ecosystem_audit/_repos/lm-evaluation-harness show 5ac7cdf83020193258ccfc1698556202ec328a49:lm_eval/tasks/aime/aime.yaml,Reasoning task added with an explicit cap.
T003,opencompass,open-compass/opencompass,GSM8K task,introduction,2023-07-04T21:34:55+08:00,7d346000bb8f1f7611f88dc8e003bdf8c9ae3ece,absent,512,false,,,96263b1a16899260586c8e945eea06934c43c225,verified,configs/datasets/gsm8k/gsm8k_gen_aa9688.py,max_out_len=512,git -C ecosystem_audit/_repos/opencompass show --format=fuller --stat 7d346000bb8f1f7611f88dc8e003bdf8c9ae3ece -- configs/datasets/gsm8k/gsm8k_gen_aa9688.py && git -C ecosystem_audit/_repos/opencompass show 7d346000bb8f1f7611f88dc8e003bdf8c9ae3ece:configs/datasets/gsm8k/gsm8k_gen_aa9688.py,Initial task config.
T004,opencompass,open-compass/opencompass,MATH task,introduction,2023-07-04T21:34:55+08:00,7d346000bb8f1f7611f88dc8e003bdf8c9ae3ece,absent,512,false,,,96263b1a16899260586c8e945eea06934c43c225,verified,configs/datasets/math/math_gen_2f9b1c.py,max_out_len=512,git -C ecosystem_audit/_repos/opencompass show --format=fuller --stat 7d346000bb8f1f7611f88dc8e003bdf8c9ae3ece -- configs/datasets/math/math_gen_2f9b1c.py && git -C ecosystem_audit/_repos/opencompass show 7d346000bb8f1f7611f88dc8e003bdf8c9ae3ece:configs/datasets/math/math_gen_2f9b1c.py,Initial task config; later pinned snapshot uses dynamic model/config defaults.
T005,opencompass,open-compass/opencompass,LiteLLM provider default,introduction,2026-07-15T14:01:43+05:30,88e3979f0a1a05757a6b12de26bcd0e68411a237,absent,512,false,,,96263b1a16899260586c8e945eea06934c43c225,verified,opencompass/models/litellm_api.py,max_out_len: int = 512,git -C ecosystem_audit/_repos/opencompass show --format=fuller --stat 88e3979f0a1a05757a6b12de26bcd0e68411a237 -- opencompass/models/litellm_api.py && git -C ecosystem_audit/_repos/opencompass show 88e3979f0a1a05757a6b12de26bcd0e68411a237:opencompass/models/litellm_api.py,Provider adapter introduction.
T006,helm,stanford-crfm/helm,request schema default,introduction,2021-11-14T23:49:47-08:00,f92f4506b590cb85b78331c5a76acc53a261dc88,absent,100,false,,,63754d05db6f874e41a395880fb573890a13e791,verified,src/schemas.py,maxTokens: int = 100,git -C ecosystem_audit/_repos/helm show --format=fuller --stat f92f4506b590cb85b78331c5a76acc53a261dc88 -- src/schemas.py && git -C ecosystem_audit/_repos/helm show f92f4506b590cb85b78331c5a76acc53a261dc88:src/schemas.py,Initial global request default.
T007,helm,stanford-crfm/helm,generic generation adapter helper,introduction,2022-09-15T21:04:13-07:00,2bd76f873daa60b31e81e912a0d57143a60b7f3a,varied call-site values,5,false,,,63754d05db6f874e41a395880fb573890a13e791,verified,src/benchmark/run_specs.py,"max_tokens=5,",git -C ecosystem_audit/_repos/helm show --format=fuller --stat 2bd76f873daa60b31e81e912a0d57143a60b7f3a -- src/benchmark/run_specs.py && git -C ecosystem_audit/_repos/helm show 2bd76f873daa60b31e81e912a0d57143a60b7f3a:src/benchmark/run_specs.py,Shared helper introduction during prompt refactor.
T008,helm,stanford-crfm/helm,GSM8K task,introduction,2022-02-28T00:30:56-08:00,b7680374de2984b0b87e404106a7e5951cb6323d,absent,400,false,,,63754d05db6f874e41a395880fb573890a13e791,verified,src/benchmark/run_specs.py,max_tokens=400,git -C ecosystem_audit/_repos/helm show --format=fuller --stat b7680374de2984b0b87e404106a7e5951cb6323d -- src/benchmark/run_specs.py && git -C ecosystem_audit/_repos/helm show b7680374de2984b0b87e404106a7e5951cb6323d:src/benchmark/run_specs.py,Initial GSM8K scenario.
T009,helm,stanford-crfm/helm,MATH direct-answer task,introduction,2022-02-23T14:47:55-08:00,610753217009e63960dabf9fe11d63dce0029f69,absent,20,false,,,63754d05db6f874e41a395880fb573890a13e791,verified,src/benchmark/run_specs.py,max_tokens=20,git -C ecosystem_audit/_repos/helm show --format=fuller --stat 610753217009e63960dabf9fe11d63dce0029f69 -- src/benchmark/run_specs.py && git -C ecosystem_audit/_repos/helm show 610753217009e63960dabf9fe11d63dce0029f69:src/benchmark/run_specs.py,Initial MATH run spec.
T010,helm,stanford-crfm/helm,MATH chain-of-thought task,remediation,2022-06-15T14:29:29-07:00,02af46b60a267767a2e2e0c528344855dd81212e,20,400,true,2022-06-15T14:29:29-07:00,02af46b60a267767a2e2e0c528344855dd81212e,63754d05db6f874e41a395880fb573890a13e791,verified,src/benchmark/run_specs.py,max_tokens = 400,git -C ecosystem_audit/_repos/helm show --format=fuller --stat 02af46b60a267767a2e2e0c528344855dd81212e -- src/benchmark/run_specs.py && git -C ecosystem_audit/_repos/helm show 02af46b60a267767a2e2e0c528344855dd81212e:src/benchmark/run_specs.py,CoT-specific increase.
